url,product_name,sku,upc,features,image,specifications
https://houseofrohl.com/holborn-c-spout-hot-water-faucet-tank-and-filter-kit-english-bronze-with-metal-lever-handle-u-kit1347ls-eb-2/,"DISCONTINUED Holborn™ Hot Water Dispenser, Tank And Filter Kit - English Bronze | Model Number: U.KIT1347LS-EB-2",UKIT1347LSEB2,824438360730,"['Dedicated energy-saving hot water dispenser is ideal for preparation of hot drinks, thawing frozen vegetables and cleaning grease', 'Kit includes U.1998 hot water tank, U.1347LS hot water faucet, U.1106 hot water filter', 'Filtered water .5 GPM/1.9 LPM at 45 PSI', 'Swivel spout for ease of filling containers', 'Solid brass construction delivers the utmost in beauty, durability and long-lasting performance', 'Not compatible with ISE tanks']",https://cdn11.bigcommerce.com/s-80sqzb3h0c/images/stencil/600x600/products/104485/114970/rsoeo8rmdziylwhkf6lp__31544.1652162735.jpg?c=1,"{""Warranted Finish"": ""YES"", ""Warranty"": ""5-YEAR LIMITED WARRANTY ON FAUCET AND 3 YEARS ON TANK"", ""Product Type"": ""HOT WATER DISPENSER"", ""Style"": ""TRANSITIONAL"", ""Hole Configuration"": ""1"", ""Mounting Location"": ""DECK"", ""Installation Type"": ""SINGLE HOLE"", ""Shape"": ""C-SPOUT""}"
https://houseofrohl.com/holborn-c-spout-hot-water-faucet-tank-and-filter-kit-english-bronze-with-metal-lever-handle-u-kit1347ls-eb-2/,,,,,,
https://houseofrohl.com/holborn-c-spout-hot-water-faucet-tank-and-filter-kit-english-gold-with-metal-lever-handle-u-kit1347ls-eg-2/,"Holborn™ Hot Water Dispenser, Tank And Filter Kit - English Gold | Model Number: U.KIT1347LS-EG-2",UKIT1347LSEG2,824438360747,"['Dedicated energy-saving hot water dispenser is ideal for preparation of hot drinks, thawing frozen vegetables and cleaning grease', 'Kit includes U.1998 hot water tank, U.1347LS hot water faucet, U.1106 hot water filter', 'Filtered water .5 GPM/1.9 LPM at 45 PSI', 'Swivel spout for ease of filling containers', 'Solid brass construction delivers the utmost in beauty, durability and long-lasting performance', 'Not compatible with ISE tanks', 'Handle may only be installed on the right side.']",https://cdn11.bigcommerce.com/s-80sqzb3h0c/images/stencil/600x600/products/104487/114971/s3wdvwjcdsjdfwflf6cc__33998.1652162735.jpg?c=1,"{""Warranted Finish"": ""YES"", ""Warranty"": ""5-YEAR LIMITED WARRANTY ON FAUCET AND 3 YEARS ON TANK"", ""Product Type"": ""HOT WATER DISPENSER"", ""Style"": ""TRANSITIONAL"", ""Hole Configuration"": ""1"", ""Mounting Location"": ""DECK"", ""Installation Type"": ""SINGLE HOLE"", ""Shape"": ""C-SPOUT""}"
https://houseofrohl.com/holborn-c-spout-hot-water-faucet-tank-and-filter-kit-english-gold-with-metal-lever-handle-u-kit1347ls-eg-2/,,,,,,
https://houseofrohl.com/holborn-c-spout-hot-water-faucet-tank-and-filter-kit-polished-chrome-with-metal-lever-handle-u-kit1347ls-apc-2/,"Holborn™ Hot Water Dispenser, Tank And Filter Kit - Polished Chrome | Model Number: U.KIT1347LS-APC-2",UKIT1347LSAPC2,824438360709,"['Dedicated energy-saving hot water dispenser is ideal for preparation of hot drinks, thawing frozen vegetables and cleaning grease', 'Kit includes U.1998 hot water tank, U.1347LS hot water faucet, U.1106 hot water filter', 'Filtered water .5 GPM/1.9 LPM at 45 PSI', 'Swivel spout for ease of filling containers', 'Solid brass construction delivers the utmost in beauty, durability and long-lasting performance', 'Not compatible with ISE tanks', 'Handle may only be installed on the right side.']",https://cdn11.bigcommerce.com/s-80sqzb3h0c/images/stencil/600x600/products/104488/114972/pu9pdqrmkbh5b6rzz4s6__62176.1652162736.jpg?c=1,"{""Warranted Finish"": ""YES"", ""Warranty"": ""5-YEAR LIMITED WARRANTY ON FAUCET AND 3 YEARS ON TANK"", ""Product Type"": ""HOT WATER DISPENSER"", ""Style"": ""TRANSITIONAL"", ""Hole Configuration"": ""1"", ""Mounting Location"": ""DECK"", ""Installation Type"": ""SINGLE HOLE"", ""Shape"": ""C-SPOUT""}"
https://houseofrohl.com/holborn-c-spout-hot-water-faucet-tank-and-filter-kit-polished-chrome-with-metal-lever-handle-u-kit1347ls-apc-2/,,,,,,
https://houseofrohl.com/holborn-c-spout-hot-water-faucet-tank-and-filter-kit-polished-nickel-with-metal-lever-handle-u-kit1347ls-pn-2/,"Holborn™ Hot Water Dispenser, Tank And Filter Kit - Polished Nickel | Model Number: U.KIT1347LS-PN-2",UKIT1347LSPN2,824438360716,"['Dedicated energy-saving hot water dispenser is ideal for preparation of hot drinks, thawing frozen vegetables and cleaning grease', 'Kit includes U.1998 hot water tank, U.1347LS hot water faucet, U.1106 hot water filter', 'Filtered water .5 GPM/1.9 LPM at 45 PSI', 'Swivel spout for ease of filling containers', 'Solid brass construction delivers the utmost in beauty, durability and long-lasting performance', 'Not compatible with ISE tanks', 'Handle may only be installed on the right side.']",https://cdn11.bigcommerce.com/s-80sqzb3h0c/images/stencil/600x600/products/104489/114973/t2sm0ehqwutylw0tochh__89823.1652162736.jpg?c=1,"{""Warranted Finish"": ""YES"", ""Warranty"": ""5-YEAR LIMITED WARRANTY ON FAUCET AND 3 YEARS ON TANK"", ""Product Type"": ""HOT WATER DISPENSER"", ""Style"": ""TRANSITIONAL"", ""Hole Configuration"": ""1"", ""Mounting Location"": ""DECK"", ""Installation Type"": ""SINGLE HOLE"", ""Shape"": ""C-SPOUT""}"
https://houseofrohl.com/holborn-c-spout-hot-water-faucet-tank-and-filter-kit-polished-nickel-with-metal-lever-handle-u-kit1347ls-pn-2/,,,,,,
https://houseofrohl.com/holborn-c-spout-hot-water-faucet-tank-and-filter-kit-satin-english-gold-with-metal-lever-handle-u-kit1347ls-seg-2/,"Holborn™ Hot Water Dispenser, Tank And Filter Kit - Satin English Gold | Model Number: U.KIT1347LS-SEG-2",UKIT1347LSSEG2,824438399907,"['Dedicated energy-saving hot water dispenser is ideal for preparation of hot drinks, thawing frozen vegetables and cleaning grease', 'Kit includes U.1998 hot water tank, U.1347LS hot water faucet, U.1106 hot water filter', 'Filtered water .5 GPM/1.9 LPM at 45 PSI', 'Swivel spout for ease of filling containers', 'Solid brass construction delivers the utmost in beauty, durability and long-lasting performance', 'Not compatible with ISE tanks', 'Handle may only be installed on the right side.']",https://cdn11.bigcommerce.com/s-80sqzb3h0c/images/stencil/600x600/products/104484/114974/kglmevllesu5aehhr9x5__09834.1652162736.jpg?c=1,"{""Warranted Finish"": ""YES"", ""Warranty"": ""5-YEAR LIMITED WARRANTY ON FAUCET AND 3 YEARS ON TANK"", ""Product Type"": ""HOT WATER DISPENSER"", ""Style"": ""TRANSITIONAL"", ""Hole Configuration"": ""1"", ""Mounting Location"": ""DECK"", ""Installation Type"": ""SINGLE HOLE"", ""Shape"": ""C-SPOUT""}"
https://houseofrohl.com/holborn-c-spout-hot-water-faucet-tank-and-filter-kit-satin-english-gold-with-metal-lever-handle-u-kit1347ls-seg-2/,,,,,,
